ws_id;ws_name;ws_origin;ws_lat;ws_lon
63a374da05732d2a1426054e;Ofla;NMA-EIAR;12.539614;39.38117
63a374da05732d2a1426054f;Raya Azebo;NMA-EIAR;12.663163;39.74354
63a374da05732d2a14260550;Saharti Samre;NMA-EIAR;13.203695;39.17377
63a374da05732d2a14260551;Adwa;NMA-EIAR;14.174856;38.92463
63a374da05732d2a14260552;Ahferom;NMA-EIAR;14.385617;39.12392
63a374da05732d2a14260553;Degua Temben;NMA-EIAR;13.621692;39.22526
63a374da05732d2a14260554;Kola Temben;NMA-EIAR;13.705003;38.91457
63a374da05732d2a14260555;Laelay Maychew;NMA-EIAR;14.09686;38.75484
63a374da05732d2a14260556;Mereb Leke;NMA-EIAR;14.36774;38.75539
63a374da05732d2a14260557;Naeder Adet;NMA-EIAR;13.841915;38.68539
63a374da05732d2a14260558;Tahtay Maychew;NMA-EIAR;14.083459;38.5851
63a374da05732d2a14260559;Tanqua Abergele;NMA-EIAR;13.402782;38.89282
63a374da05732d2a1426055a;Werei Leke;NMA-EIAR;13.984863;39.09122
63a374da05732d2a1426055b;Kafta Humera;NMA-EIAR;14.047627;36.94017
63a374da05732d2a1426055c;Tsegede;NMA-EIAR;13.490463;37.05643
63a374da05732d2a1426055d;Welkait;NMA-EIAR;13.756372;37.39545
63a374da05732d2a1426055e;Atsbi Wenberta;NMA-EIAR;13.810721;39.75904
63a374da05732d2a1426055f;Erob;NMA-EIAR;14.490214;39.6763
63a374da05732d2a14260560;Ganta Afeshum;NMA-EIAR;14.235746;39.38329
63a374da05732d2a14260561;Gulomekeda;NMA-EIAR;14.405498;39.4071
63a374da05732d2a14260562;Hawzen;NMA-EIAR;13.968787;39.3855
63a374da05732d2a14260563;Kelete Awelallo;NMA-EIAR;13.752858;39.5187
63a374da05732d2a14260564;Saesie Tsaedaemba;NMA-EIAR;14.166226;39.63229
63a374da05732d2a14260565;Asgede Tsimbila;NMA-EIAR;13.957487;37.9944
63a374da05732d2a14260566;Laelay Adiyabo;NMA-EIAR;14.366997;38.19828
63a374da05732d2a14260567;Medebay Zana;NMA-EIAR;14.008606;38.44539
63a374da05732d2a14260568;Tahtay Adiyabo;NMA-EIAR;14.426691;37.78967
